,availability,avg_rating,brand,color,currency,description,images,name,price,original_price,review_count,scraped_at,url,mock_prices,category,cloth_gender
0,instock,4.5,nike,black/bronzine/olive aura/sea glass,usa,"with supportive cushioning built for a smooth run, the nike infinityrn 4 is a brand-new take on a familiar favorite. it's made from our all-new nike reactx foam, which gives you 13% more energy return compared with nike react foam, to help you stay fresh and bouncy. (what's more? nike reactx reduces its carbon footprint in a pair of midsoles by at least 43% compared to nike react foam.*) we coupled the reactx foam with nike running's best-fitting flyknit yet, so you can take off anytime, anywhere with secure upper support and breathability. it’s the kind of shoe that can grant you that priceless peace of mind to go faster and farther thanks to an intuitive design that supports every stride. *the carbon footprint of reactx is based on cradle-to-gate assessment reviewed by pré sustainability b.v and intertek china. other midsole components such as airbags, plates or other foam formulations were not considered.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/54d21021-98d8-4be9-8b2c-3e775e570e54/infinityrn-4-mens-road-running-shoes-4hKwJW.png']",nike infinityrn 4,160.0,160.0,192,2023-12-16 11:39:55,https://www.nike.com/t/infinityrn-4-mens-road-running-shoes-4hKwJW/DR2665-006,139.76~155.88~160.11,,
1,instock,4.7,nike,bronzine/black/olive aura/sea glass,usa,"a springy ride for any run, the peg’s familiar, just-for-you feel returns to help you accomplish your goals. this version has the same responsiveness and neutral support you love, but with improved comfort in those sensitive areas of your foot, like the arch and toes. whether you’re logging long marathon miles, squeezing in a speed session before the sun goes down or hopping into a spontaneous group jaunt, it’s still the established road runner you can put your faith in, day after day, run after run.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ac2fa989-e2af-4733-a2c0-0f5311273088/pegasus-40-mens-road-running-shoes-mVJdmS.png']",nike pegasus 40,130.0,130.0,373,2023-12-16 11:40:04,https://www.nike.com/t/pegasus-40-mens-road-running-shoes-mVJdmS/DV3853-700,118.64~109.46~119.03~125.81~136.75,,
2,instock,4.4,nike,white/platinum tint/white/photon dust,usa,"with maximum cushioning to support every mile, the invincible 3 has our highest level of comfort underfoot. its plush and bouncy zoomx foam helps you stay stable and fresh. in other words—it's going to feel good all day, no matter what you're doing. it has everything you need so you can propel down your preferred path and come back for your next run feeling ready and reinvigorated.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7b6090af-7d8d-473f-b9cf-2d8fe719a000/invincible-3-mens-road-running-shoes-4xHjXL.png']",nike invincible 3,180.0,180.0,360,2023-12-16 11:40:14,https://www.nike.com/t/invincible-3-mens-road-running-shoes-4xHjXL/DR2615-103,197.08~164.3~206.39~182.75~163.0,,
3,instock,4.5,nike,white/star blue/green strike/black,usa,"a balanced ride to help kickstart your run, the winflo 10 is great whether you’re a creature of habit logging your weekly mileage, a rookie hoping to turn intrigue into routine, or just joining a friend for a spontaneous weekend run. a neutral support shoe with springy nike air plus more space in the forefoot leads to a comfortable, bouncy feel. it’s ready-made for your run, whenever the road is calling your name.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/16044b46-f5a9-4293-bb97-193013788eab/wio-10-mens-road-running-shoes-DZQPJN.png']",nike winflo 10,105.0,105.0,126,2023-12-16 11:40:24,https://www.nike.com/t/wio-10-mens-road-running-shoes-DZQPJN/DV4022-103,108.82~119.09~132.88~105.81,,
4,instock,4.6,nike,black/anthracite/volt/white,usa,"with supportive cushioning built for a smooth run, the nike infinityrn 4 is a brand-new take on a familiar favorite. it's made from our all-new nike reactx foam, which gives you 13% more energy return compared with nike react foam, to help you stay fresh and bouncy. (what's more? nike reactx reduces its carbon footprint in a pair of midsoles by at least 43% compared to nike react foam.*) this version has gore-tex fabric to help you stay dry for your miles. it’s the kind of shoe that supports every step in style. *the carbon footprint of reactx is based on cradle-to-gate assessment reviewed by pré sustainability b.v and intertek china. other midsole components such as airbags, plates or other foam formulations were not considered.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/c97f2721-3a96-432b-8e1b-ad9b2f304337/infinityrn-4-gore-tex-mens-waterproof-road-running-shoes-nPh2bZ.png']",nike infinityrn 4 gore-tex,180.0,180.0,25,2023-12-16 11:40:33,https://www.nike.com/t/infinityrn-4-gore-tex-mens-waterproof-road-running-shoes-nPh2bZ/FB2204-001,200.95~154.98~188.38~161.85~184.87,,
5,instock,4.3,nike,light carbon/dark stucco/light orewood brown/cosmic clay,usa,"the nike pegasus trail 4 gore-tex is your running companion for those days when the weather turns. its waterproof gore-tex layer helps keep your feet dry, and less rubber in the outsole creates a smooth transition from road to trail without breaking stride.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/39c2b2b6-4a20-40f5-b87f-a9d52a9b41de/pegasus-trail-4-gore-tex-mens-waterproof-trail-running-shoes-qdcSR6.png']",nike pegasus trail 4 gore-tex,160.0,160.0,179,2023-12-16 11:40:41,https://www.nike.com/t/pegasus-trail-4-gore-tex-mens-waterproof-trail-running-shoes-qdcSR6/DJ7926-006,116.89~223.98~121.78~146.58~144.06,,
6,instock,4.6,nike,football grey/green strike/light armory blue/racer blue,usa,"catch ‘em if you can. giving you race-day speed to conquer any distance, the nike vaporfly 3 is made for the chasers, the racers, the elevated pacers who can’t turn down the thrill of the pursuit. we reworked the leader of the super shoe pack and tuned the engine underneath to help you chase personal bests from a 10k to marathon. from elite runners to those new to racing, this versatile road-racing workhorse is for those who see speed as a gateway to more miles and more seemingly uncatchable highs.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/e3832ea3-e857-4ad1-8626-7c3b8d204a0e/vaporfly-3-mens-road-racing-shoes-8DD182.png']",nike vaporfly 3,260.0,260.0,219,2023-12-16 11:40:50,https://www.nike.com/t/vaporfly-3-mens-road-racing-shoes-8DD182/DV4129-006,304.71~268.56~259.84,,
7,instock,4.7,nike,white/platinum tint/racer blue/thunder blue,usa,"a springy and soft ride to energize every mile, the vomero 17 takes you to your running happy place. its stacked foam provides premium responsiveness to help you kick it up a notch when you’re ready for that extra gear. and with across-the-board enhancements that deliver a new level of lightweight comfort and breathability, this shoe is for those road runners who seek the thrill of the vroom and the kind of plush feel that puts you in cruise control for short-to-long distances.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7b331b1f-4970-4887-bec2-253cc732f573/vomero-17-mens-road-running-shoes-ThMlMm.png']",nike vomero 17,160.0,160.0,54,2023-12-16 11:40:59,https://www.nike.com/t/vomero-17-mens-road-running-shoes-ThMlMm/FB1309-100,183.57~120.55~90.41,,
8,instock,4.2,nike,ail/white/light bone/black,usa,"go the distance with cushy confidence in every step. building on the foundation of its predecessor, this shoe expands on its laceless design by adding secure support that feels like it disappears on your foot. more foam means better cushioning, helping keep you comfortable as you run.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7893278f-ad73-4722-bd40-bd6f001f8fc5/react-phantom-run-flyknit-2-mens-road-running-shoes-7s5XTG.png']",nike react phantom run flyknit 2,150.0,150.0,18,2023-12-16 11:41:07,https://www.nike.com/t/react-phantom-run-flyknit-2-mens-road-running-shoes-7s5XTG/DV2139-100,162.9~207.19~110.85,,
9,instock,5.0,nike,white/phantom/total orange/black,usa,"fine-tuned for marathon speed, the alphafly 3 helps push you beyond what you thought possible. three innovative technologies power your run: a double dose of air zoom units helps launch you into your next step; a full-length carbon fiber plate helps propel you forward with ease; and a heel-to-toe zoomx foam midsole helps keep you fresh from start to 26.2. time to leave your old personal records in the dust.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9cb75678-361f-408a-8974-da1fc4a567c2/alphafly-3-proto-mens-road-racing-shoes-fwGfLF.png']",nike alphafly 3 proto,285.0,285.0,2,2023-12-16 11:41:16,https://www.nike.com/t/alphafly-3-proto-mens-road-racing-shoes-fwGfLF/FD8356-100,236.78~212.85~289.88~297.93,,
