,availability,avg_rating,brand,color,currency,description,images,name,price,review_count,scraped_at,url,sale
0,instock,4.1,adidas,black,usd,"Can you ever really lose spirit? The adidas ZX series would say no. Years may pass, things may change. The core remains. Not to get too poetic, but this modern version of the iconic shoes does inspire a certain nostalgia. The modern edge balances it out.","https://assets.adidas.com/images/w_600,f_auto,q_auto/027ab9d8671a4ccd9087ac0900cbd5e8_9366/ZX_700_HD_Shoes_Black_G55780_01_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7a734476ac854919bedfac0900cc00d7_9366/ZX_700_HD_Shoes_Black_G55780_012_hover_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/be147f0919be42acad60ac0900cbe39f_9366/ZX_700_HD_Shoes_Black_G55780_02_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/e480339f42c549ed9274ac0900cbea45_9366/ZX_700_HD_Shoes_Black_G55780_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/518d083c1c574a59ac62ac0900cbf1c2_9366/ZX_700_HD_Shoes_Black_G55780_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3f6d7753862e471689c7ac0900cbf936_9366/ZX_700_HD_Shoes_Black_G55780_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/e825496ac3994c82aa87ac0900cbdcd4_9366/ZX_700_HD_Shoes_Black_G55780_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/e0743f2d5e774cf6a977ac09010ebcc3_9366/ZX_700_HD_Shoes_Black_G55780_09_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7020a66da23f4cc38a55ac0900cc06f1_9366/ZX_700_HD_Shoes_Black_G55780_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/d95dd867d15c438bb01bac0900cc0d75_9366/ZX_700_HD_Shoes_Black_G55780_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/94f526aae18e4e159b60ac0900cc1489_9366/ZX_700_HD_Shoes_Black_G55780_44_detail.jpg",ZX 700 HD Shoes,63.0,251.0,2021-10-23 17:51:29.144945,https://www.adidas.com/us/zx-700-hd-shoes/G55780.html,0
1,instock,4.4,adidas,purple,usd,"Follow your breath to a place where your mind and body work in unison. Brushed fabric gives these adidas training tights a soft touch for comfort as you flow through your yoga practice. A hugged-in fit feels supportive in arm balances and inversions.

This product is made with Primegreen, a series of high-performance recycled materials.","https://assets.adidas.com/images/w_600,f_auto,q_auto/533d3cb63e334e4882cdacea0007c8e7_9366/Elevate_Yoga_Flow_7-8_Tights_Purple_GR8147_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/f8ede074be08485d94a2acea00085232_9366/Elevate_Yoga_Flow_7-8_Tights_Purple_GR8147_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/485aa231a2d74724a0a3acea00095d48_9366/Elevate_Yoga_Flow_7-8_Tights_Purple_GR8147_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/8375eec2eee7433697daacef0041cfc0_9366/Elevate_Yoga_Flow_7-8_Tights_Purple_GR8147_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/59570a062b304c11ad6dacea0007ff0c_9366/Elevate_Yoga_Flow_7-8_Tights_Purple_GR8147_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/ec8479d6f3a84fe698f4acea000748fa_9366/Elevate_Yoga_Flow_7-8_Tights_Purple_GR8147_42_detail.jpg",Elevate Yoga Flow 7/8 Tights,72.0,44.0,2021-10-23 17:51:57.092639,https://www.adidas.com/us/elevate-yoga-flow-7-8-tights/GR8147.html,0
2,instock,3.0,nike,rush blue/white/white,usd," Rep your team in the Philadelphia 76ers Shorts, featuring understated squad and league logos. Lightweight mesh keeps things cool and casual—on or off the court.Product DetailsElastic waistband with drawcordNotched hemsSide pockets100% polyesterMachine washImportedShown: Rush Blue/White/WhiteStyle: DN8258-495","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/b767c6c8-76ca-4eea-9c3b-459c7c4ea4c7/philadelphia-76ers-mens-nba-shorts-s3FCfg.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a4feae32-93aa-4e8e-abe3-480bf9594e49/philadelphia-76ers-mens-nba-shorts-s3FCfg.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/34fb3789-9a25-4321-99ff-efeb67fbfecc/philadelphia-76ers-mens-nba-shorts-s3FCfg.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4d2e4aa4-6ac1-48dd-a874-d20514432a6c/philadelphia-76ers-mens-nba-shorts-s3FCfg.png",Philadelphia 76ers,48.0,1.0,2022-09-20 23:48:16.000000,https://www.nike.com/t/philadelphia-76ers-mens-nba-shorts-s3FCfg,0
3,instock,4.5,adidas,black,usd,Some players talk a good game. But the best ones feel it. Get in touch with your senses and elevate your play in Copa Sense. These adidas soccer cleats feature soft leather for a smooth first touch. The seamless upper molds around the contours of your foot for a comfortable fit. The outsole delivers high traction on firm ground.,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2a15594dcf0440b3b99aac840115235f_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_01_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/b5ae6a931f7049058ed5ac840115308a_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a345f1a48b2246fab53eac8401153617_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/aa594a55b1d74d429e58ac8401153bf1_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/6aa0c93f33ed41068ab8ac840115400f_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/8299b34dc53342aea6ffac8401152932_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/25e38f7cc3854fe88170ac8401155532_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_09_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/b7ae391c81c6479bbfcbac8401154666_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a5a186c720774ccf9e8eac8401154c1c_9366/Copa_Sense.3_Firm_Ground_Cleats_Black_FW6514_42_detail.jpg",Copa Sense.3 Firm Ground Cleats,64.0,214.0,2021-10-23 17:51:23.912812,https://www.adidas.com/us/copa-sense.3-firm-ground-cleats/FW6514.html,0
4,instock,3.0,nike,black/black/light bone,usd,"BIG AIR + COZY COMFORT.Grab the hoodie that feels sporty and layers easily with almost anything. Supersoft fleece combines with mesh lining for a warm and breathable design from playtime to schooltime.BenefitsSupersoft fleece has a fuzzy feel against your body for extra warmth.Mesh lining in the hood and pockets brings extra breathability.Side pockets hold small items or keep your hands warm.Product DetailsStandard fit for a relaxed, easy feelSide pocketsRibbed cuffs and hemReflective detailsBody: 80% cotton/20% polyester. Rib: 98% cotton/2% spandex. Pocket bags/Hood lining: 100% cotton.Machine washImportedNot intended for use as Personal Protective Equipment (PPE)Shown: Black/Black/Light BoneStyle: DM8109-010","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/c45813e4-c2dc-40d4-809e-68a294ff98b2/air-big-kids-boys-pullover-hoodie-TV2v6D.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/a2caed3b-b930-4d5c-b2c1-f655fff7b1b1/air-big-kids-boys-pullover-hoodie-TV2v6D.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/0213e62c-0e78-4753-ae85-1174b2f73b15/air-big-kids-boys-pullover-hoodie-TV2v6D.png | https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/75379282-9760-42d8-8512-f0d12293f581/air-big-kids-boys-pullover-hoodie-TV2v6D.png",Nike Air,34.97,1.0,2022-09-20 23:42:55.000000,https://www.nike.com/t/air-big-kids-boys-pullover-hoodie-TV2v6D,0
5,instock,4.2,adidas,turquoise,usd,"When you're charged up and activated, nothing can stand in your way. At least, nothing SHOULD stand in your way. Comfort is key, and these adidas ZX 1K Boost Shoes are packed with it, thanks to a half-Boost, half-EVA midsole (otherwise known as a winning combo). Take to the streets. Be there a while. These are along for the whole ride.","https://assets.adidas.com/images/w_600,f_auto,q_auto/bd37a2af2f404751b5dfac7701261ba7_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_01_standard.jpg~https://assets.adidas.com/videos/w_600,f_auto,q_auto/46d33dc212b84996a596ad2f00d812e4_d98c/ZX_1K_Boost_Shoes_Turquoise_FX6865_video.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3fb2118ef6ca4b688746ac7701262898_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a4082e5f414048a29d90ac7701262fec_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/f73b7ced79144c3a9eb3ac77012636fd_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/39fc9e7241d34bb0ad70ac7701263eda_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/42e1e5d8e3c7427c8cb9ac77012621da_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/04fd520b3e6542e4be2eac77012654e8_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_09_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/b605adfcfc844e85a700ac7701264575_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/d355277ffbe348bcb2bfac7701264bab_9366/ZX_1K_Boost_Shoes_Turquoise_FX6865_42_detail.jpg",ZX 1K Boost Shoes,70.0,77.0,2021-10-23 17:51:25.535763,https://www.adidas.com/us/zx-1k-boost-shoes/FX6865.html,0
6,instock,4.8,adidas,yellow,usd,"Pull on these adidas golf shorts to keep your cool through warm weather rounds. Their lightweight, breathable fabric delivers dependable comfort on the links. A water-resistant coating sheds damp weather with ease.","https://assets.adidas.com/images/w_600,f_auto,q_auto/3ca30b6811a04ed79ab2ac3d006fe26e_9366/Ultimate365_Core_8.5-Inch_Shorts_Yellow_GM0307_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c7e35b02847c4793ad4aac3d00724598_9366/Ultimate365_Core_8.5-Inch_Shorts_Yellow_GM0307_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/f0243ba5c5c54855a704ac3d0067c317_9366/Ultimate365_Core_8.5-Inch_Shorts_Yellow_GM0307_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/5da163eac4624a54a0baac28008771cf_9366/Ultimate365_Core_8.5-Inch_Shorts_Yellow_GM0307_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/0ec4c16242c64ccfa8dbac3d006deb21_9366/Ultimate365_Core_8.5-Inch_Shorts_Yellow_GM0307_25_outfit.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/f26e5d4c6dd04ff6a250ac3d006f6699_9366/Ultimate365_Core_8.5-Inch_Shorts_Yellow_GM0307_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/171605f7766543c78448ac3d007010cb_9366/Ultimate365_Core_8.5-Inch_Shorts_Yellow_GM0307_42_detail.jpg",Ultimate365 Core 8.5-Inch Shorts,46.0,387.0,2021-10-23 17:50:30.504822,https://www.adidas.com/us/ultimate365-core-8.5-inch-shorts/GM0307.html,0
7,instock,4.5,adidas,green,usd,"From low key to dressy, these versatile adidas shoes pair with a variety of looks. The plush feel keeps you comfortable on casual strolls through the park and long afternoons on your feet. The retro design has suede overlays for a sharp finish.","https://assets.adidas.com/images/w_600,f_auto,q_auto/70ab166441784a228dd3ad1800a22dd1_9366/Retrorun_Shoes_Green_GZ5350_01_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/b68be52a0d4947ae8492ad1800a23d5e_9366/Retrorun_Shoes_Green_GZ5350_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9c6f021259a04ba1947ead1800a245a2_9366/Retrorun_Shoes_Green_GZ5350_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/e7030f18dd734c299df6ad1800a24dd6_9366/Retrorun_Shoes_Green_GZ5350_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/82c0ee06706543d199b4ad1800a25702_9366/Retrorun_Shoes_Green_GZ5350_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/65f3ad967a6e464b9a36ad1800a2351f_9366/Retrorun_Shoes_Green_GZ5350_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/dc95ce1a984b4de1ba14ad1800a25eef_9366/Retrorun_Shoes_Green_GZ5350_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/114c96cc0d89437fa44dad1800a26612_9366/Retrorun_Shoes_Green_GZ5350_42_detail.jpg",Retrorun Shoes,52.0,762.0,2021-10-23 17:52:21.492263,https://www.adidas.com/us/retrorun-shoes/GZ5350.html,0
8,instock,4.2,adidas,grey,usd,"Make no mistake. Doing nothing is actually doing something. It's resetting. Unwinding. Rewarding all your hard work. So do nothing, or do something – and can we suggest doing it in this adidas hoodie? Because the ultra-soft French terry fabric provides one of the best rewards to it all: comfort. Settle in. It's easy to do with this sweatshirt.","https://assets.adidas.com/images/w_600,f_auto,q_auto/21af4bfeab0146dfa48aad23002df1c7_9366/adidas_Sportswear_Comfy_and_Chill_Full_Zip_Hoodie_Grey_H45371_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/4030e7a904a843e8b7fdad23002df9fa_9366/adidas_Sportswear_Comfy_and_Chill_Full_Zip_Hoodie_Grey_H45371_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7f75112d1bcc44148b7dad23002e0272_9366/adidas_Sportswear_Comfy_and_Chill_Full_Zip_Hoodie_Grey_H45371_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/f1e985479c734d1fb867ad25006054ba_9366/adidas_Sportswear_Comfy_and_Chill_Full_Zip_Hoodie_Grey_H45371_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/738a0662b8b64adfaa28ad23002e0ed9_9366/adidas_Sportswear_Comfy_and_Chill_Full_Zip_Hoodie_Grey_H45371_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/dd35cc22577641c9b5f0ad23002e1b0d_9366/adidas_Sportswear_Comfy_and_Chill_Full_Zip_Hoodie_Grey_H45371_42_detail.jpg",adidas Sportswear Comfy & Chill Full Zip Hoodie,56.0,32.0,2021-10-23 17:50:41.706567,https://www.adidas.com/us/adidas-sportswear-comfy-chill-full-zip-hoodie/H45371.html,0
9,instock,4.8,adidas,black,usd,"Get out of the gym and do your warm-weather workouts outside. This adidas bikini top is made of stretchy fabric that hugs the body to give you confidence in the water. Designed in collaboration with Karlie Kloss, it has adjustable straps and removable pads so you can personalize the fit. 

This product is made with Primegreen, a series of high-performance recycled materials.","https://assets.adidas.com/images/w_600,f_auto,q_auto/1f946c944ca04e869dacad3501110b4a_9366/Karlie_Kloss_Bikini_Top_Black_GH6828_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c30a8bec637c49aaa1fdad35011112de_9366/Karlie_Kloss_Bikini_Top_Black_GH6828_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/5a24d5e3840a4c7b9277ad3501111b35_9366/Karlie_Kloss_Bikini_Top_Black_GH6828_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/bd8f04dbdd5a4cb38b9fad3501113e94_9366/Karlie_Kloss_Bikini_Top_Black_GH6828_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c2c28d09f35d4c998fb6ad350111214e_9366/Karlie_Kloss_Bikini_Top_Black_GH6828_25_outfit.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/6fd4f98e89dc45ef983bad3501112959_9366/Karlie_Kloss_Bikini_Top_Black_GH6828_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/6e87dee2e38243a7bb4cad350111329c_9366/Karlie_Kloss_Bikini_Top_Black_GH6828_42_detail.jpg",Karlie Kloss Bikini Top,35.0,4.0,2021-10-23 17:51:13.028062,https://www.adidas.com/us/karlie-kloss-bikini-top/GH6828.html,0
